Título,Data,URL,Visualizações,Duração (s),Foi Live?
Os MANDRAKES estão PASSANDO dos LIMITES - Torr | BiahKov,2025-06-02T15:01:19+00:00,https://www.youtube.com/watch?v=p_6d94cXanM,4585,1009,upload
O PIOR SUB-EMPREGO (supermercados) - nNold | BiahKov,2025-05-30T21:00:51+00:00,https://www.youtube.com/watch?v=lF3HaM9CiSs,5119,1097,upload
A COMUNIDADE DE ZZZ É INSUPORTÁVELKKKK - Heraci | BiahKov,2025-05-29T15:00:38+00:00,https://www.youtube.com/watch?v=LcdDDe1hCaU,8975,1247,upload
VELHOS sendo ENGANADOS por POSTAGENS de IA - Tamagoshi | BiahKov,2025-05-27T21:01:03+00:00,https://www.youtube.com/watch?v=saajHWiQtCE,4354,821,upload
Chat se importa muito com a Biah #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-23T21:00:42+00:00,https://www.youtube.com/watch?v=cZVXFGfEKqI,3073,29,upload
Como DESTRUÍRAM a Seleção Brasileira - Samuel Baum | BiahKov,2025-05-22T15:01:00+00:00,https://www.youtube.com/watch?v=bRp7FY2op7E,6453,1493,upload
Biah é muito boa no #gta #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr #vtuber,2025-05-21T19:00:53+00:00,https://www.youtube.com/watch?v=vi9i2kBG9Zc,2300,24,upload
O Lado Sombrio das Redes Sociais - Samuel Baum | BiahKov,2025-05-20T15:00:44+00:00,https://www.youtube.com/watch?v=PD2y958zqTQ,3734,1964,upload
As Técnicas de Sobrevivência Mais Insanas que podem salvar a sua VIDA! - Fala de Tudo | BiahKov,2025-05-17T15:00:01+00:00,https://www.youtube.com/watch?v=0dnj8DeOz6w,13385,1375,upload
O YETI É BIZARRO - Mulho | BiahKov,2025-05-16T15:00:47+00:00,https://www.youtube.com/watch?v=S6ZWYwHWphU,4128,974,upload
BIah não odeia mulher #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-14T19:00:16+00:00,https://www.youtube.com/watch?v=IxtoTW8b-Ag,3786,35,upload
"Pessoas que se relacionam com objetos, de boneca reborn a boneca inflá...- Engeek | BiahKov",2025-05-13T15:00:17+00:00,https://www.youtube.com/watch?v=4FzqUDkZjuU,14586,819,upload
Polícia m4chista #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-12T19:00:24+00:00,https://www.youtube.com/watch?v=UX5i2nYVgQo,3573,25,upload
Ficou feião #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-10T19:00:19+00:00,https://www.youtube.com/watch?v=F1Kp5gKLFtc,8612,27,upload
"OS VÍDEOS DE ""GATO FOFO AI"" SÃO BIZARROS - DerGelo | BiahKov",2025-05-09T15:00:58+00:00,https://www.youtube.com/watch?v=TBy8eJlqBcE,3942,688,upload
Mais um dia no GTA... #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-05-08T19:00:06+00:00,https://www.youtube.com/watch?v=3oAkrIeS6ec,3468,46,upload
O INTANKAVEL pastor MIRIM do TIKTOK - Saitu | BiahKov,2025-05-07T15:00:00+00:00,https://www.youtube.com/watch?v=-A7gSAQsOsk,7523,803,upload
Africano no mine #vtuber #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr #minecraft,2025-05-06T19:00:09+00:00,https://www.youtube.com/watch?v=4tHkqD7x6NY,7334,13,upload
A VERDADE SOBRE A PR0ST1TU1ÇÃ0 NA TAILÂNDIA - Nômade Raiz | BiahKov,2025-05-05T15:00:03+00:00,https://www.youtube.com/watch?v=0bIs_t032Qg,8312,2858,upload
Os Paneleiro do Discord que iam Incendi4r um Morador de Rua - Neon | BiahKov,2025-05-02T15:01:38+00:00,https://www.youtube.com/watch?v=wmEmJHQLl_Q,6130,1232,upload
A Rainha dos times  #vtuber #biahkov #humor #engraçado #gameplay #fypシ゚viral #fyp #vtuberbr,2025-04-29T19:00:52+00:00,https://www.youtube.com/watch?v=wyjndekvm8w,3142,21,upload
Katty Perry e sua viagem espacial (racharia na moral kkkk) - Pcini | BiahKov,2025-04-29T15:00:51+00:00,https://www.youtube.com/watch?v=Ytn61hVH17I,5084,884,upload
Fui no banheiro e virou varzea #vtuber  #streamer  #engraçado #fypviral  #donate  #ias,2025-04-26T19:30:07+00:00,https://www.youtube.com/watch?v=Y_gtYw0_v-4,5323,32,upload
A literal queda do 4chan - Pcini | BiahKov,2025-04-26T15:01:14+00:00,https://www.youtube.com/watch?v=m1Tr7QROAHc,5166,910,upload
Chat trollando a live da Biah como sempre #vtuber #biahkov #humor #engraçado #react #tiktok #donate,2025-04-23T17:30:08+00:00,https://www.youtube.com/watch?v=gTXEom2vlJY,11570,32,upload
AGORA É CR1ME SER IDOSO NO JAPÃO - Baka Gaijin | BiahKov,2025-04-23T15:00:06+00:00,https://www.youtube.com/watch?v=2Y5lXhIQ7pQ,6165,1350,upload
as famosas ¨PICK ME GIRLS¨ - Fhany | BiahKov,2025-04-21T15:00:14+00:00,https://www.youtube.com/watch?v=4BkPkmapO7g,13276,928,upload
"SUBCOMUNIDADE ""SHADOW BOXING"" QUE ACHA QUE ATIVAM ADRENALINA - cellinke | BiahKov",2025-04-18T15:00:25+00:00,https://www.youtube.com/watch?v=K1b_ruo4p1w,7965,913,upload
A Treta do Studio Ghibli vs ChatGPT não faz sentido - Samuel Baum | BiahKov,2025-04-15T15:00:49+00:00,https://www.youtube.com/watch?v=RZS6oBjbtrc,4326,949,upload
"N4zipardos, os cabas que pensam ser da ""raça ariana"" - ENGEEK | BiahKov",2025-04-11T15:00:13+00:00,https://www.youtube.com/watch?v=6et9hLGMnqc,48873,1590,upload
QUEDAS TRISTES DE VER - Teuso | BiahKov,2025-04-07T15:00:23+00:00,https://www.youtube.com/watch?v=L7dUQfdRe3s,7529,1079,upload
Minecraft e suas atualizações patéticas - Pcini | BiahKov,2025-04-04T15:00:09+00:00,https://www.youtube.com/watch?v=6AHbmS4gL9E,11516,1263,upload
pessoas que NAMORAM PERSONAGENS DE ANIME - Fhany | BiahKov,2025-04-02T15:00:46+00:00,https://www.youtube.com/watch?v=XFfnYXdDeQI,8237,686,upload
O Fim da Cultura Woke (part. ‪@ENGEEK‬) - Samuel Baum | BiahKov,2025-03-30T15:30:00+00:00,https://www.youtube.com/watch?v=-kr64sq3Rus,25878,2126,upload
O Herobrine dava mais medo...,2025-03-28T19:00:34+00:00,https://www.youtube.com/watch?v=_QlyDUTceak,14946,22,upload
PROIBIÇAO dos celulares nas escolas e os adolescentes revoltados - kaazy | BiahKov,2025-03-28T15:01:18+00:00,https://www.youtube.com/watch?v=tTXaRGtQooI,8865,730,upload
Os Momentos mais Vergonhosos nos Esportes PARTE 8 - Fala de Tudo | BiahKov,2025-03-26T15:00:25+00:00,https://www.youtube.com/watch?v=Lw0C0J507R0,24440,1398,upload
"Muito conveniente, né? #vtuber #biahkov #humor #tiktok #streamer #twitch #residentevil",2025-03-24T19:00:35+00:00,https://www.youtube.com/watch?v=f-Kz_CI0uYc,3064,22,upload
O problema da distorção dos shapes atuais (para de ser bitolado) - Pcini | BiahKov,2025-03-22T15:00:54+00:00,https://www.youtube.com/watch?v=gdclVcYS63s,12966,1149,upload
AS PROPAGANDAS DO YOUTUBE TÃO MUITO BIZARRAS! Haraci | BiahKov,2025-03-20T15:01:00+00:00,https://www.youtube.com/watch?v=cMQE2ic4MpQ,13760,988,upload
CR14NÇ4S QUE WEBNAMORAM kkkkkkkkkkkkkkkk - Fhany | BiahKov,2025-03-18T15:00:20+00:00,https://www.youtube.com/watch?v=B8vIX9r6eJ8,7422,702,upload
WENDIGOS SÃO BIZARROS - JJ | BiahKov,2025-03-14T15:00:03+00:00,https://www.youtube.com/watch?v=aFTJMt5ey0A,10408,1048,upload
Carnaval é o MAIOR LIXO do Brasil (só trouxa vai nisso kkkkk) - Samuel Baum | BiahKov,2025-03-12T15:01:20+00:00,https://www.youtube.com/watch?v=x-jcPTonf44,18499,1384,upload
"Web Comunistas, a solução para o Brasil é uma revolução home office? - Engeek | BiahKov",2025-03-10T15:00:12+00:00,https://www.youtube.com/watch?v=BMocIr4o1Q8,61907,2634,upload
O Youtuber que SEQUESTROU os Inscritos - Neon | BiahKov,2025-03-07T15:00:54+00:00,https://www.youtube.com/watch?v=dMkpAtpf83I,7280,960,upload
Essa MULHER não come MUITO - Saitu | BiahKov,2025-03-05T15:01:00+00:00,https://www.youtube.com/watch?v=djwEy6MaLBo,11009,697,upload
MINHA EX ME TRAIU COM O PERSONAL KKKKKKKKKK - O Petrikov | BiahKov,2025-03-02T15:00:01+00:00,https://www.youtube.com/watch?v=aKvOfP0-8Ig,8389,761,upload
Oruam PRESO no RIO DE JANEIRO kkkkk (era tudo marketing?) - Samuel baum | BiahKov,2025-02-28T15:00:51+00:00,https://www.youtube.com/watch?v=ZTC81AhmSj4,5947,834,upload
A ESCOLA hoje em dia NÃO é pra qualquer um - Saitu | BiahKov,2025-02-25T15:00:03+00:00,https://www.youtube.com/watch?v=0z4A2yB-6aw,14196,808,upload
BRIGAS DE ESCOLA SÃO UM PROBLEMA - Teuso | BiahKov,2025-02-22T15:01:11+00:00,https://www.youtube.com/watch?v=qE1Xym_PG_Q,11957,985,upload
A Triste Cultura do Funk no Brasil - Samuel Baum | BiahKov,2025-02-20T15:01:21+00:00,https://www.youtube.com/watch?v=xVL6VE7Wa1c,20158,1799,upload
TACARAM FOGO NA CASA DO BLUEZÃO! - Serginho Faoth | BiahKov,2025-02-18T15:00:32+00:00,https://www.youtube.com/watch?v=HCWaq2fXRyM,7312,998,upload
Pedidos De Desculpas pra quando VOCÊ for CANCELADO igual a CHOQUEI - Engeek | BiahKov,2025-02-15T15:00:22+00:00,https://www.youtube.com/watch?v=JaMTFSwMlO4,13052,720,upload
"Desenho de Crente, a maior fábrica de Ateus que existe - Engeek | BiahKov",2025-02-12T15:00:28+00:00,https://www.youtube.com/watch?v=O_ieabc8fGc,23986,1118,upload
🔴 Os maiores MICOS da TV! PARTE 10! Quando tudo da errado!! - Fala de tudo | BiahKov,2025-02-10T15:00:05+00:00,https://www.youtube.com/watch?v=3LdPrC7uZoQ,20337,1341,upload
vídeos CURTOS estão deixando as pessoas BURRAS - Fhany | BiahKov,2025-02-05T15:00:19+00:00,https://www.youtube.com/watch?v=9aZKt1r37Es,9071,1381,upload
"Mini Pastor Coach, expulse demônios enquanto eles dormem - Engeek | BiahKov",2025-02-02T15:00:31+00:00,https://www.youtube.com/watch?v=KS0I6tkeYuY,24510,999,upload
As piores confissões da internet - Orsay | BiahKov,2025-01-30T15:00:45+00:00,https://www.youtube.com/watch?v=UOgSaAHbx-k,22238,1495,upload
LENDO SUAS CONFISSÕES AMOROSAS - Teuso | BiahKov,2025-01-27T15:00:55+00:00,https://www.youtube.com/watch?v=lHJkCR1ySRM,16579,1613,upload
TRAIÇÃO E BARRACO NA IGREJA (e o Pastor talarico) Neon | BiahKov,2025-01-21T15:01:03+00:00,https://www.youtube.com/watch?v=iDu9-IJYWaw,16539,1189,upload
OBSERVAÇÕES DIÁRIAS (EP. 271) - Xracing | BiahKov,2025-01-18T15:00:28+00:00,https://www.youtube.com/watch?v=Q6ti--pSWNo,10369,1390,upload
ACHEI O ONLYF4NS DA MINHA MÃE.....Relatos dos inscritos - O Petrikov | BiahKov,2025-01-14T15:00:33+00:00,https://www.youtube.com/watch?v=LVcAERpC-AI,12451,903,upload
A MULHER MAIS TÓXICA QUE VOCÊ VAI CONHECER - Teuso | BiahKov,2025-01-12T18:30:42+00:00,https://www.youtube.com/watch?v=jyR4P1mkr3w,23132,1268,upload
O Pior Streamer do Mundo foi PRESO (Johnny Somali) - Neon | BiahKov,2025-01-09T15:00:41+00:00,https://www.youtube.com/watch?v=UlgHWJehZx0,15726,1317,upload
Fique na Luz... E Reze para a Energia não cair - VIRALQUEST VQ | BiahKov,2025-01-06T15:00:41+00:00,https://www.youtube.com/watch?v=VJEf_zNkWhI,14139,1167,upload
"Se gostar de Anti Herói é ""ser fascista"", me chame de Mussolini - Engeek | BiahKov",2025-01-03T15:00:50+00:00,https://www.youtube.com/watch?v=h3dyE2bZcCk,52012,1235,upload
Mamar e facil #vtuber  #fyp  #engraçado #humor  #vtuberbr,2025-01-02T21:05:27+00:00,https://www.youtube.com/watch?v=8Hf9T3g5eqs,5094,32,upload
