T铆tulo,Data,URL,Visualiza莽玫es,Dura莽茫o (s),Foi Live?
livezinha s贸 os brabos,2025-06-02T10:10:36+00:00,https://www.youtube.com/watch?v=T04Qrc_q2NM,724,6882,live
livezinha s贸 os brabos,2025-06-01T00:30:24+00:00,https://www.youtube.com/watch?v=LEDi1SfDlII,701,11217,live
papelao gamer,2025-05-28T00:21:09+00:00,https://www.youtube.com/watch?v=iu9FwNW9eH4,1214,10818,live
livezinha com os brabos,2025-05-20T00:44:18+00:00,https://www.youtube.com/watch?v=WkDKVVVsLcs,658,11032,live
livezinha com os brabos,2025-05-17T11:50:40+00:00,https://www.youtube.com/watch?v=HAPsCu6BJ90,640,5336,live
livezinha com os brabos,2025-05-12T23:22:40+00:00,https://www.youtube.com/watch?v=CzBanCAxYHE,1060,12031,live
Infelizmente hj n茫o deu pra fazer live me desculpa por tudo tmj sempre,2025-05-04T21:58:32+00:00,https://www.youtube.com/watch?v=tmdvlpDlDOg,397,121,upload
livezinha com os brabos,2025-04-26T11:30:10+00:00,https://www.youtube.com/watch?v=NG3n1ljMCbI,972,4077,live
livezinha com os brabos,2025-04-22T10:13:07+00:00,https://www.youtube.com/watch?v=ODYybtPc-Es,824,4742,live
livezinha com os brabos,2025-04-20T11:10:03+00:00,https://www.youtube.com/watch?v=qXcqrHFOdCM,1252,6236,live
livezinha com os brabos,2025-04-13T22:50:20+00:00,https://www.youtube.com/watch?v=jolpDjTEpNE,1154,7978,live
livezinha com os brabos,2025-03-16T06:02:32+00:00,https://www.youtube.com/watch?v=DuTqNVZ9yeY,1600,3092,live
livezinha com os brabos,2025-03-14T11:51:22+00:00,https://www.youtube.com/watch?v=zsLCuvHbieM,1751,5604,live
livezinha com os brabos,2025-03-10T10:14:14+00:00,https://www.youtube.com/watch?v=XnnGYVs2wts,3279,6882,live
livezinha com os brabos,2025-02-21T11:35:15+00:00,https://www.youtube.com/watch?v=q-7wOzl_gbo,1035,5529,live
livezinha com os brabos,2025-02-14T09:03:29+00:00,https://www.youtube.com/watch?v=bO4A53h3MrM,927,1174,live
livezinha com os brabos,2025-02-09T10:25:38+00:00,https://www.youtube.com/watch?v=xuP7VFQni1w,1746,1468,live
livezinha com os brabos,2025-01-27T02:21:36+00:00,https://www.youtube.com/watch?v=uQJ1ngQEhH8,5399,20076,live
PC QUEIMOU FAMILIA,2025-01-22T03:30:12+00:00,https://www.youtube.com/watch?v=sxNJbk4F20I,2933,11261,live
tokokudoeno,2025-01-16T03:14:57+00:00,https://www.youtube.com/watch?v=xTlIEoPZXi4,3055,15169,live
livezinha s贸 os brabo,2025-01-05T08:58:17+00:00,https://www.youtube.com/watch?v=pze3vfN7MHQ,4826,20420,live
livezinha s贸 os brabo,2025-01-03T10:17:28+00:00,https://www.youtube.com/watch?v=tpn0p52Twr0,2872,5752,live
